Cohort Year,2022,2023,2024,2025
2022.0,193.8,198.8,111.5,73.6
2023.0,0.0,279.1,131.7,48.4
2024.0,0.0,0.0,87.8,45.6
2025.0,0.0,0.0,0.0,50.1
