Cohort Year,2022,2023,2024,2025
2022.0,469.3,1317.5,127.7,424.4
2023.0,0.0,454.7,288.4,114.4
2024.0,0.0,0.0,176.5,98.7
2025.0,0.0,0.0,0.0,95.2
