AU,2023-07-10,578.34,173.50,404.84
AT,2023-07-10,36.91,11.07,25.83
CA,2023-07-10,75.43,22.63,52.80
DK,2023-07-10,553.06,165.92,387.14
FI,2023-07-10,0.00,0.00,0.00
FR,2023-07-10,324.20,97.26,226.94
DE,2023-07-10,1015.95,304.78,711.16
GR,2023-07-10,3.55,1.07,2.49
HK,2023-07-10,188.94,56.68,132.26
IE,2023-07-10,0.11,0.03,0.08
IT,2023-07-10,197.44,59.23,138.21
NL,2023-07-10,369.17,110.75,258.42
SG,2023-07-10,89.52,26.86,62.67
ES,2023-07-10,8.50,2.55,5.95
SE,2023-07-10,1757.41,527.22,1230.19
AE,2023-07-10,3.01,0.90,2.11
GB,2023-07-10,3056.35,916.90,2139.44
US,2023-07-10,4030.98,1209.29,2821.69
AU,2023-07-11,556.89,167.07,389.82
AT,2023-07-11,2.88,0.86,2.01
CA,2023-07-11,149.99,45.00,104.99
DK,2023-07-11,148.39,44.52,103.87
FI,2023-07-11,67.05,20.12,46.94
FR,2023-07-11,648.46,194.54,453.92
DE,2023-07-11,1034.25,310.27,723.97
GR,2023-07-11,9.27,2.78,6.49
HK,2023-07-11,267.25,80.18,187.08
IE,2023-07-11,252.43,75.73,176.70
IT,2023-07-11,109.16,32.75,76.41
NL,2023-07-11,154.36,46.31,108.05
SG,2023-07-11,113.32,34.00,79.32
ES,2023-07-11,60.34,18.10,42.24
SE,2023-07-11,1258.75,377.63,881.13
AE,2023-07-11,11.62,3.49,8.13
GB,2023-07-11,1981.94,594.58,1387.36
US,2023-07-11,4812.43,1443.73,3368.70
AU,2023-07-12,355.24,106.57,248.67
AT,2023-07-12,0.10,0.03,0.07
CA,2023-07-12,102.65,30.80,71.86
DK,2023-07-12,90.31,27.09,63.22
FI,2023-07-12,46.45,13.94,32.52
FR,2023-07-12,774.56,232.37,542.19
DE,2023-07-12,573.20,171.96,401.24
GR,2023-07-12,1.45,0.44,1.02
HK,2023-07-12,1.56,0.47,1.09
IE,2023-07-12,148.28,44.48,103.79
IT,2023-07-12,163.31,48.99,114.32
NL,2023-07-12,344.35,103.31,241.05
SG,2023-07-12,25.30,7.59,17.71
ES,2023-07-12,10.58,3.17,7.40
SE,2023-07-12,1773.51,532.05,1241.46
AE,2023-07-12,28.93,8.68,20.25
GB,2023-07-12,1953.52,586.05,1367.46
US,2023-07-12,3552.10,1065.63,2486.47
