AU,2023-06-19,56.39,16.92,39.48
AT,2023-06-19,0.97,0.29,0.68
CA,2023-06-19,27.71,8.31,19.40
DK,2023-06-19,16.76,5.03,11.73
FI,2023-06-19,10.96,3.29,7.67
FR,2023-06-19,216.34,64.90,151.44
DE,2023-06-19,1062.26,318.68,743.58
GR,2023-06-19,3.33,1.00,2.33
HK,2023-06-19,0.00,0.00,0.00
IE,2023-06-19,77.77,23.33,54.44
IT,2023-06-19,65.85,19.75,46.09
NL,2023-06-19,31.80,9.54,22.26
SG,2023-06-19,0.00,0.00,0.00
ES,2023-06-19,32.55,9.76,22.78
SE,2023-06-19,1379.68,413.90,965.78
AE,2023-06-19,59.51,17.85,41.66
GB,2023-06-19,507.34,152.20,355.14
US,2023-06-19,4143.98,1243.19,2900.79
AU,2023-06-20,233.21,69.96,163.24
AT,2023-06-20,20.39,6.12,14.27
CA,2023-06-20,92.23,27.67,64.56
DK,2023-06-20,26.97,8.09,18.88
FI,2023-06-20,34.19,10.26,23.94
FR,2023-06-20,174.64,52.39,122.24
DE,2023-06-20,365.34,109.60,255.74
GR,2023-06-20,0.22,0.06,0.15
IE,2023-06-20,23.95,7.18,16.76
IT,2023-06-20,110.45,33.14,77.32
NL,2023-06-20,48.97,14.69,34.28
SG,2023-06-20,43.69,13.11,30.58
ES,2023-06-20,21.36,6.41,14.95
SE,2023-06-20,1270.12,381.04,889.09
AE,2023-06-20,15.75,4.72,11.02
GB,2023-06-20,2869.67,860.90,2008.77
US,2023-06-20,4005.50,1201.65,2803.85
AU,2023-06-21,50.59,15.18,35.41
AT,2023-06-21,52.61,15.78,36.83
CA,2023-06-21,136.11,40.83,95.28
DK,2023-06-21,15.23,4.57,10.66
FI,2023-06-21,3.73,1.12,2.61
FR,2023-06-21,308.75,92.62,216.12
DE,2023-06-21,390.86,117.26,273.60
GR,2023-06-21,0.64,0.19,0.45
HK,2023-06-21,22.68,6.81,15.88
IE,2023-06-21,8.73,2.62,6.11
IT,2023-06-21,67.95,20.38,47.56
NL,2023-06-21,17.57,5.27,12.30
SG,2023-06-21,15.12,4.54,10.59
ES,2023-06-21,21.19,6.36,14.84
SE,2023-06-21,1205.92,361.78,844.14
AE,2023-06-21,6.82,2.04,4.77
GB,2023-06-21,1710.42,513.13,1197.29
US,2023-06-21,1784.33,535.30,1249.03
AU,2023-06-22,50.89,15.27,35.63
AT,2023-06-22,9.30,2.79,6.51
CA,2023-06-22,37.85,11.35,26.49
DK,2023-06-22,46.19,13.86,32.33
FI,2023-06-22,15.29,4.59,10.70
FR,2023-06-22,80.08,24.02,56.06
DE,2023-06-22,447.46,134.24,313.22
GR,2023-06-22,19.03,5.71,13.32
HK,2023-06-22,14.22,4.27,9.95
IE,2023-06-22,5.13,1.54,3.59
IT,2023-06-22,12.19,3.66,8.53
NL,2023-06-22,12.94,3.88,9.06
SG,2023-06-22,14.86,4.46,10.40
ES,2023-06-22,5.88,1.76,4.12
SE,2023-06-22,1065.98,319.79,746.19
AE,2023-06-22,0.11,0.03,0.07
GB,2023-06-22,751.85,225.56,526.30
US,2023-06-22,3388.58,1016.58,2372.01
AU,2023-06-23,108.07,32.42,75.65
AT,2023-06-23,3.74,1.12,2.62
CA,2023-06-23,23.60,7.08,16.52
DK,2023-06-23,38.66,11.60,27.06
FI,2023-06-23,0.00,0.00,0.00
