AU,2023-08-14,75.07,22.52,52.55
AT,2023-08-14,12.10,3.63,8.47
CA,2023-08-14,40.94,12.28,28.66
DK,2023-08-14,45.48,13.64,31.83
FI,2023-08-14,40.07,12.02,28.05
FR,2023-08-14,161.81,48.54,113.27
DE,2023-08-14,680.18,204.05,476.13
GR,2023-08-14,0.22,0.06,0.15
HK,2023-08-14,4.32,1.30,3.02
IE,2023-08-14,108.45,32.53,75.91
IT,2023-08-14,299.31,89.79,209.52
NL,2023-08-14,174.88,52.46,122.42
SG,2023-08-14,42.13,12.64,29.49
ES,2023-08-14,4.00,1.20,2.80
SE,2023-08-14,623.69,187.11,436.58
AE,2023-08-14,49.90,14.97,34.93
GB,2023-08-14,1465.79,439.74,1026.05
US,2023-08-14,1579.21,473.76,1105.44
AU,2023-08-15,115.91,34.77,81.14
AT,2023-08-15,4.56,1.37,3.19
CA,2023-08-15,19.01,5.70,13.31
DK,2023-08-15,6.84,2.05,4.79
FI,2023-08-15,30.42,9.12,21.29
FR,2023-08-15,309.49,92.85,216.64
DE,2023-08-15,746.94,224.08,522.86
GR,2023-08-15,1.09,0.33,0.76
HK,2023-08-15,26.40,7.92,18.48
IE,2023-08-15,60.29,18.09,42.20
IT,2023-08-15,31.61,9.48,22.13
NL,2023-08-15,57.79,17.34,40.45
SG,2023-08-15,38.78,11.63,27.15
ES,2023-08-15,36.93,11.08,25.85
SE,2023-08-15,686.11,205.83,480.28
AE,2023-08-15,35.63,10.69,24.94
GB,2023-08-15,1049.70,314.91,734.79
US,2023-08-15,1276.85,383.05,893.79
AU,2023-08-16,42.60,12.78,29.82
AT,2023-08-16,4.37,1.31,3.06
BE,2023-08-16,11.69,3.51,8.18
CA,2023-08-16,113.28,33.98,79.29
HR,2023-08-16,6.88,2.06,4.82
DK,2023-08-16,49.81,14.94,34.87
FI,2023-08-16,68.60,20.58,48.02
FR,2023-08-16,115.46,34.64,80.82
DE,2023-08-16,601.44,180.43,421.01
GR,2023-08-16,41.95,12.58,29.36
HK,2023-08-16,5.90,1.77,4.13
IE,2023-08-16,128.13,38.44,89.69
IT,2023-08-16,58.77,17.63,41.14
LU,2023-08-16,0.66,0.20,0.46
NL,2023-08-16,68.82,20.65,48.17
NZ,2023-08-16,4.48,1.34,3.14
NO,2023-08-16,1.97,0.59,1.38
PT,2023-08-16,15.29,4.59,10.70
SG,2023-08-16,110.87,33.26,77.61
ES,2023-08-16,50.58,15.17,35.40
SE,2023-08-16,1356.90,407.07,949.83
CH,2023-08-16,5.13,1.54,3.59
