"Years";"Weeks";"Gross margin 1 - Dema MTA";"Compare range: Gross margin 1 - Dema MTA";"Gross margin 2 - Dema MTA";"Compare range: Gross margin 2 - Dema MTA";"Net gross margin 1 - Dema MTA";"Compare range: Net gross margin 1 - Dema MTA";"Net gross margin 2 - Dema MTA";"Compare range: Net gross margin 2 - Dema MTA"
"2021";"Week 35, 2021";"0.8257272626978998";"0";"0.6676081754678069";"0";"0.8386832144245893";"0";"0.4649855336439106";"0"
"2021";"Week 36, 2021";"0.8069983371596312";"0";"0.6639556624558617";"0";"0.8358634200448912";"0";"0.6194687687724033";"0"
"2021";"Week 37, 2021";"0.8632043646898482";"0";"0.7151233664038965";"0";"0.8635705668639023";"0";"0.6810695808709515";"0"
"2021";"Week 38, 2021";"0.7866300779345274";"0";"0.6720108865658991";"0";"0.8051824129410016";"0";"0.5680402989193776";"0"
"2021";"Week 39, 2021";"0.8245848622624014";"0";"0.6724079684560409";"0";"0.8223308206466029";"0";"0.5124196474782095";"0"
"2021";"Week 40, 2021";"0.8682132707132159";"0";"0.7110525886856104";"0";"0.8632400436599862";"0";"0.4990313948506594";"0"
"2021";"Week 41, 2021";"0.7776242617859153";"0";"0.653058914270147";"0";"0.779443399467797";"0";"0.5245135573935662";"0"
"2021";"Week 42, 2021";"0.8110490402124841";"0";"0.6820893865321985";"0";"0.8194636084158331";"0";"0.6148056532006257";"0"
"2021";"Week 43, 2021";"0.23689721774494793";"0";"0.12856957863978713";"0";"0.093410218591334";"0";"-0.07502939286287429";"0"
"2021";"Week 44, 2021";"0.8145520729072685";"0";"0.6781933468419229";"0";"0.8198070100646627";"0";"0.5130979430072125";"0"
"2021";"Week 45, 2021";"0.7910163434980708";"0";"0.6741135517332222";"0";"0.7856696633283251";"0";"0.5868675572978699";"0"
"2021";"Week 46, 2021";"0.8124719299054758";"0";"0.6390769890424631";"0";"0.8178676042573417";"0";"0.3359571568946826";"0"
"2021";"Week 47, 2021";"0.7439678833226278";"0";"0.6084544001249813";"0";"0.7231357117381042";"0";"0.3455725290520796";"0"
