Calendar Year,ISO Week,Gross Revenue (ex. VAT)
2025,6,652174.2662774518
2025,5,751628.4182119879
2025,4,707049.724478903
2025,3,1193368.1155024245
2025,2,1631003.6157746944
2024,52,1411781.6943554822
2024,51,1333400.016071891
2024,1,1786828.6032688834
