ISO Week,Sessions,Conversion Rate (%),New Customers,Returning Customers,AOV New Customers (ex. VAT),AOV Returning Customers (ex. VAT),Online Media Spend,nCAC,COS%
8,37860,1.453,197,344,1624.78,1896.15,62775.5,223.06,0
7,38966,1.404,242,301,1526.33,1848.93,98176.9,283.98,0
6,41370,1.368,239,319,1482.41,1858.93,124933.0,365.91,0
5,41829,1.298,188,350,1700.11,1972.18,83803.56,312.03,0
4,42480,1.252,213,316,1503.15,1942.14,95413.93,313.57,0
3,49408,1.996,381,593,1245.6,1628.38,151727.9,278.77,0
2,69277,1.827,500,749,1250.14,1672.53,221643.2,310.3,0
1,53264,2.245,394,792,1421.67,1727.63,162419.79,288.56,0
