Year Type,Calendar Year,ISO Week,Metric,Value
Last Year,2024,34,nCAC,549.0787311178246
Last Year,2024,35,nCAC,620.979914498141
Last Year,2024,34,Sessions,33534.0
Last Year,2024,34,Conversion Rate (%),2.2425001491024035
Last Year,2024,34,New Customers,331.0
Last Year,2024,34,Returning Customers,383.0
Last Year,2024,34,AOV New Customers (ex. VAT),1474.15
Last Year,2024,34,AOV Returning Customers (ex. VAT),1908.69
Last Year,2024,35,COS%,22.398
Last Year,2024,32,COS%,19.066
