ISO Week,Calendar Year,Gender,Category,Current Year Revenue,Last Year Revenue,Growth (%)
4,2025,MEN,MOBILITÉ,18194.715256666666,12349.79721951613,47.3
4,2025,MEN,POOLWEAR,4926.584008,2719.4685,81.2
4,2025,MEN,SOCKS,36573.32165996679,40679.24830274627,-10.1
4,2025,MEN,SWIMWEAR,91719.6077689995,41795.731276666666,119.4
4,2025,MEN,TOPS,211946.4754191251,223666.831514,-5.2
4,2025,MEN,UNDERWEAR,315402.3687964782,465508.1101415709,-32.2
4,2025,UNISEX,SOCKS,18770.743473266666,29100.515958333333,-35.5
4,2025,WOMEN,SOCKS,2597.4975866666673,2215.150874,17.3
4,2025,WOMEN,SWIMWEAR,6649.8016099999995,0.0,664980.2
4,2025,WOMEN,TOPS,31479.120130041123,18829.212563333334,67.2
4,2025,WOMEN,UNDERWEAR,42439.26347142177,49904.604852,-15.0
3,2025,-,-,139515.09511450262,0.0,13951509.5
3,2025,MEN,HOME,155027.06799840598,85164.62695,82.0
3,2025,MEN,MOBILITÉ,22590.531408333332,115012.9091168288,-80.4
3,2025,MEN,POOLWEAR,41980.03610224055,17526.7663,139.5
3,2025,MEN,SOCKS,42846.05521306667,36885.9130837013,16.2
3,2025,MEN,SWIMWEAR,163164.5864620813,109825.18236516902,48.6
3,2025,MEN,TOPS,302104.05769106885,306921.2630205885,-1.6
3,2025,MEN,UNDERWEAR,465655.7806272279,768077.5882926432,-39.4
3,2025,UNISEX,SOCKS,55625.18222793843,50988.51496205391,9.1
3,2025,WOMEN,HOME,1600.0,0.0,160000.0
3,2025,WOMEN,SOCKS,9662.10365478126,0.0,966210.4
3,2025,WOMEN,SWIMWEAR,10901.491691673364,0.0,1090149.2
3,2025,WOMEN,TOPS,35137.26611381374,31342.678846,12.1
3,2025,WOMEN,UNDERWEAR,57021.0871300493,81216.27915701536,-29.8
