ISO Week,Gender,Gross Revenue (ex. VAT)
6,MEN,614
6,WOMEN,62
5,MEN,687
5,WOMEN,53
4,MEN,665
4,WOMEN,76
3,MEN,1148
3,WOMEN,105
2,MEN,1593
2,WOMEN,120
1,MEN,1596
1,WOMEN,121
52,MEN,1235
52,WOMEN,45
51,MEN,1090
51,WOMEN,85
6,MEN,738
6,WOMEN,74
5,MEN,767
5,WOMEN,84
4,MEN,746
4,WOMEN,67
3,MEN,1388
3,WOMEN,110
2,MEN,2048
2,WOMEN,145
1,MEN,2237
1,WOMEN,130
52,MEN,1682
52,WOMEN,75
51,MEN,858
51,WOMEN,57
