Year,Gross_Revenue,Returns_Received,Return Rate (%)
2022,88190615.37201427,8307061.5871574385,9.42
2023,104720798.94028486,9859808.189138267,9.42
2024,95782271.45461549,8076066.430250317,8.43
2025,19072235.862288482,1364448.5726211001,7.15
