Product Category,32,33,34,35,36,37,38,39,8-week avg
Underwear,31.282150278777692,22.119478212773583,-19.467977141294092,-9.84916670970217,9.412809591128573,-18.614655362171433,-27.004306083230468,25.310420378391235,1.6485941455841155
Tops,12.897742483816135,11.576241798363874,-16.377152842566677,5.977829064356248,35.0382063318392,10.678237020084863,46.04868703472661,56.085239670921005,20.240628820192658
Socks,-34.5763752059175,79.55003450655624,18.110586768765025,-27.900085443670807,59.384761003312825,-9.096757104476483,-1.6823414950543216,-4.272245701937235,9.939697165947218
Bottoms,77.98591148877026,177.908800464711,-79.93019590182391,-93.99113082039912,-57.166035694970255,-86.19206217041354,643.0582061068702,127.71899886234357,88.67406154188603
Swim,-25.156952723613802,-16.728135420392825,-46.147332768839966,-9.028833781728856,-35.54840116035347,-13.306296794010366,-54.11215732022332,-46.19299939965023,-30.777638671101602
Accessories,236.35714285714283,-11.916537867078825,,-45.22613065326633,-5.395417590539542,,,602.7072758037225,155.30526650999613
Resort,,,,,,,,,
Home,,,,,,,,,
Total,9.427283714286201,15.213454410915157,-23.196179766203205,-6.380778771200417,15.999800585715546,-9.97265616375158,-5.533994319961998,32.09146542175535,3.456049388944382
Underwear,-39.028970954665475,-59.5015274208408,-39.3327827054979,-71.44915086235379,60.57776018994856,6.70207498762209,60.909849383041326,14.340008770647566,-8.347842326512305
Tops,-8.950992304576753,10.239732391748745,-61.71248310049572,383.3656778486277,36.26411936968344,23.245387135713052,-27.984888445363175,37.40502974262324,48.98394782974506
Socks,107.68352985926208,-50.71609098567818,147.36180904522612,-48.32659065833027,-51.78634594977007,1244.6601941747574,285.8288770053476,781.8355640535373,302.06761831804397
Swim,-89.51124762851205,-63.55536170477911,-100.0,165.44766708701135,-37.59009009009009,52.836879432624116,-100.0,435.1395730706075,32.84592752085772
Dresses,,-22.60981912144703,-100.0,-100.0,-100.0,,,-98.70722433460077,-84.26340869120955
Total,-46.136093767954954,-44.68906305383798,-51.589553535236554,-50.40678835349791,33.008342130865884,32.354014086483154,22.72391575623297,31.133113311331133,-9.200264178201785
0,4.886069965579151,11.261475835787286,-24.406564326715465,-9.968060645834065,16.989044064531665,-8.289479557221926,-4.198427801268881,32.033456993136824,2.288439315999324
