Metric,Year Type,52,1,2,3,4,5,6,7
Gross Revenue - New Customers (ex. VAT),Current Year,474969,560138,625068,474573,320171,319620,354295,369371
Gross Revenue - New Customers (ex. VAT),Last Year,620469,869205,760322,524465,268008,327771,326723,323725
Gross Revenue - Returning Customers (ex. VAT),Current Year,948313,1368283,1252723,965629,613716,690263,592997,556529
Gross Revenue - Returning Customers (ex. VAT),Last Year,1170909,1528914,1461125,1023491,571593,551626,516990,567840
