ISO Week,Sessions,Conversion Rate (%),New Customers,Returning Customers,AOV New Customers (ex. VAT),AOV Returning Customers (ex. VAT),Online Media Spend,nCAC,COS%
8.0,67.8,0.7,159.0,312.0,"1,758","1,987",250,1102,0
7.0,40.6,1.1,169.0,255.0,"1,916","2,227",187,776,0
6.0,37.5,1.3,207.0,277.0,"1,578","1,866",177,597,0
5.0,34.8,1.4,207.0,288.0,"1,583","1,915",182,617,0
4.0,37.2,1.3,167.0,306.0,"1,605","1,868",197,824,0
3.0,59.0,1.6,346.0,567.0,"1,516","1,805",378,765,0
2.0,59.7,2.6,576.0,927.0,"1,320","1,576",489,594,0
1.0,49.7,3.7,697.0,1077.0,"1,247","1,420",638,641,0
